"CATEGORY_KEY","CATEGORY_NAME"
1,"Password Reset"
2,"Network Connectivity"
3,"Phishing Email Report"
4,"MFA Support"
5,"Remote Desktop/VDI Issue"
6,"Core Banking Application Access Issue"
7,"Mobile Device Support"
8,"ATM System Issue"
9,"Email Problem"
10,"Account Locked"
11,"Application Performance Issue"
12,"Hardware Failure"
13,"Printer Issue"
14,"Branch Connectivity Issue"
15,"Access Request"
16,"User Termination/Offboarding"
17,"New User Setup"
18,"Software Installation"
19,"Shared Folder Access"
20,"VPN Issue"
