"DATE_KEY","FULL_DATE","YEAR","QUARTER","MONTH_NUMBER","MONTH_NAME","DAY_NUMBER","DAY_NAME"
20240101,01-JAN-24,2024,1,1,"January  ",1,"Monday   "
20240102,02-JAN-24,2024,1,1,"January  ",2,"Tuesday  "
20240103,03-JAN-24,2024,1,1,"January  ",3,"Wednesday"
20240104,04-JAN-24,2024,1,1,"January  ",4,"Thursday "
20240105,05-JAN-24,2024,1,1,"January  ",5,"Friday   "
20240106,06-JAN-24,2024,1,1,"January  ",6,"Saturday "
20240107,07-JAN-24,2024,1,1,"January  ",7,"Sunday   "
20240108,08-JAN-24,2024,1,1,"January  ",8,"Monday   "
20240109,09-JAN-24,2024,1,1,"January  ",9,"Tuesday  "
20240110,10-JAN-24,2024,1,1,"January  ",10,"Wednesday"
20240111,11-JAN-24,2024,1,1,"January  ",11,"Thursday "
20240112,12-JAN-24,2024,1,1,"January  ",12,"Friday   "
20240113,13-JAN-24,2024,1,1,"January  ",13,"Saturday "
20240114,14-JAN-24,2024,1,1,"January  ",14,"Sunday   "
20240115,15-JAN-24,2024,1,1,"January  ",15,"Monday   "
20240116,16-JAN-24,2024,1,1,"January  ",16,"Tuesday  "
20240117,17-JAN-24,2024,1,1,"January  ",17,"Wednesday"
20240118,18-JAN-24,2024,1,1,"January  ",18,"Thursday "
20240119,19-JAN-24,2024,1,1,"January  ",19,"Friday   "
20240120,20-JAN-24,2024,1,1,"January  ",20,"Saturday "
20240121,21-JAN-24,2024,1,1,"January  ",21,"Sunday   "
20240122,22-JAN-24,2024,1,1,"January  ",22,"Monday   "
20240123,23-JAN-24,2024,1,1,"January  ",23,"Tuesday  "
20240124,24-JAN-24,2024,1,1,"January  ",24,"Wednesday"
20240125,25-JAN-24,2024,1,1,"January  ",25,"Thursday "
20240126,26-JAN-24,2024,1,1,"January  ",26,"Friday   "
20240127,27-JAN-24,2024,1,1,"January  ",27,"Saturday "
20240128,28-JAN-24,2024,1,1,"January  ",28,"Sunday   "
20240129,29-JAN-24,2024,1,1,"January  ",29,"Monday   "
20240130,30-JAN-24,2024,1,1,"January  ",30,"Tuesday  "
20240131,31-JAN-24,2024,1,1,"January  ",31,"Wednesday"
20240201,01-FEB-24,2024,1,2,"February ",1,"Thursday "
20240202,02-FEB-24,2024,1,2,"February ",2,"Friday   "
20240203,03-FEB-24,2024,1,2,"February ",3,"Saturday "
20240204,04-FEB-24,2024,1,2,"February ",4,"Sunday   "
20240205,05-FEB-24,2024,1,2,"February ",5,"Monday   "
20240206,06-FEB-24,2024,1,2,"February ",6,"Tuesday  "
20240207,07-FEB-24,2024,1,2,"February ",7,"Wednesday"
20240208,08-FEB-24,2024,1,2,"February ",8,"Thursday "
20240209,09-FEB-24,2024,1,2,"February ",9,"Friday   "
20240210,10-FEB-24,2024,1,2,"February ",10,"Saturday "
20240211,11-FEB-24,2024,1,2,"February ",11,"Sunday   "
20240212,12-FEB-24,2024,1,2,"February ",12,"Monday   "
20240213,13-FEB-24,2024,1,2,"February ",13,"Tuesday  "
20240214,14-FEB-24,2024,1,2,"February ",14,"Wednesday"
20240215,15-FEB-24,2024,1,2,"February ",15,"Thursday "
20240216,16-FEB-24,2024,1,2,"February ",16,"Friday   "
20240217,17-FEB-24,2024,1,2,"February ",17,"Saturday "
20240218,18-FEB-24,2024,1,2,"February ",18,"Sunday   "
20240219,19-FEB-24,2024,1,2,"February ",19,"Monday   "
20240220,20-FEB-24,2024,1,2,"February ",20,"Tuesday  "
20240221,21-FEB-24,2024,1,2,"February ",21,"Wednesday"
20240222,22-FEB-24,2024,1,2,"February ",22,"Thursday "
20240223,23-FEB-24,2024,1,2,"February ",23,"Friday   "
20240224,24-FEB-24,2024,1,2,"February ",24,"Saturday "
20240225,25-FEB-24,2024,1,2,"February ",25,"Sunday   "
20240226,26-FEB-24,2024,1,2,"February ",26,"Monday   "
20240227,27-FEB-24,2024,1,2,"February ",27,"Tuesday  "
20240228,28-FEB-24,2024,1,2,"February ",28,"Wednesday"
20240229,29-FEB-24,2024,1,2,"February ",29,"Thursday "
20240301,01-MAR-24,2024,1,3,"March    ",1,"Friday   "
20240302,02-MAR-24,2024,1,3,"March    ",2,"Saturday "
20240303,03-MAR-24,2024,1,3,"March    ",3,"Sunday   "
20240304,04-MAR-24,2024,1,3,"March    ",4,"Monday   "
20240305,05-MAR-24,2024,1,3,"March    ",5,"Tuesday  "
20240306,06-MAR-24,2024,1,3,"March    ",6,"Wednesday"
20240307,07-MAR-24,2024,1,3,"March    ",7,"Thursday "
20240308,08-MAR-24,2024,1,3,"March    ",8,"Friday   "
20240309,09-MAR-24,2024,1,3,"March    ",9,"Saturday "
20240310,10-MAR-24,2024,1,3,"March    ",10,"Sunday   "
20240311,11-MAR-24,2024,1,3,"March    ",11,"Monday   "
