"TICKET_ID","OPEN_DATE_KEY","CLOSE_DATE_KEY","CATEGORY_KEY","AGENT_KEY","DEPARTMENT_KEY","PRIORITY_KEY","STATUS_KEY","IMPACT_KEY","RESOLUTION_HOURS","SLA_HOURS","USER_FEEDBACK_RATING","SLA_BREACHED"
"TCKT000001",20250811,20250813,1,1,1,1,1,1,46.68,1,4,1
"TCKT000002",20250517,20250518,2,2,2,1,1,2,17.62,1,1.8,1
"TCKT000003",20251031,20251031,3,3,3,2,1,2,1.45,1,2.8,1
"TCKT000004",20250909,20250910,4,3,3,3,1,1,1.79,4,3.9,0
"TCKT000005",20250507,20250508,5,4,4,4,1,2,13.37,4,4.7,1
"TCKT000006",20250616,20250617,3,3,4,4,1,2,31.21,1,3.6,1
"TCKT000007",20250816,0,6,5,5,2,2,2,,24,,0
"TCKT000008",20250305,20250305,7,6,2,3,1,2,1.29,2,3,0
"TCKT000009",20250813,20250814,8,2,6,1,3,1,36.68,72,2.2,0
"TCKT000010",20251116,20251116,2,2,4,2,3,3,11.57,1,3.4,1
"TCKT000011",20250204,0,9,7,7,3,4,1,,24,,0
"TCKT000012",20251119,20251119,8,2,4,1,1,3,9.52,72,1.6,0
"TCKT000013",20250106,0,2,2,1,4,5,1,,1,,0
"TCKT000014",20250426,20250426,10,2,7,3,3,2,2.85,2,1.3,1
"TCKT000015",20250519,20250520,8,2,8,3,3,3,29.86,72,4.9,0
"TCKT000016",20250920,20250920,4,3,3,3,1,3,3.82,4,1.4,0
"TCKT000017",20250614,20250615,7,6,3,2,1,3,1.19,2,2.8,0
"TCKT000018",20251023,20251024,6,5,4,2,1,2,31.02,24,2.2,1
"TCKT000019",20250609,20250609,2,2,4,2,1,2,6.38,1,3.3,1
"TCKT000020",20251102,20251103,11,7,2,2,1,1,20,8,3,1
"TCKT000021",20250701,20250702,12,3,7,2,3,2,17.33,2,1.2,1
"TCKT000022",20250310,20250310,13,5,2,1,1,1,1.02,48,3.8,0
"TCKT000023",20250130,20250130,7,6,6,4,3,3,2.68,2,1.6,1
"TCKT000024",20250325,20250325,10,2,6,3,3,3,0.54,2,4.5,0
"TCKT000025",20250912,20250915,13,5,7,2,1,3,69.85,48,3.1,1
"TCKT000026",20251009,20251009,14,1,2,2,1,3,1.92,48,2,0
"TCKT000027",20250202,0,8,2,7,3,2,3,,72,,0
"TCKT000028",20250531,20250531,15,6,5,1,1,1,0.55,8,3.9,0
"TCKT000029",20250318,20250318,6,5,5,1,3,1,2.66,24,1.5,0
"TCKT000030",20250810,20250811,13,5,6,4,1,2,10.86,48,3.7,0
"TCKT000031",20250102,20250102,6,5,7,2,3,1,1.14,24,4.8,0
"TCKT000032",20250726,0,15,6,5,1,4,2,,8,,0
"TCKT000033",20250303,20250304,11,7,2,2,3,2,4.41,8,1.7,0
"TCKT000034",20251120,20251123,8,2,8,3,1,2,78.68,72,4,1
"TCKT000035",20251008,0,6,5,6,1,4,2,,24,,0
"TCKT000036",20250408,20250408,16,7,3,3,1,1,1.19,12,1.8,0
"TCKT000037",20250916,20250916,17,4,8,1,1,1,6.27,8,2.8,0
"TCKT000038",20250314,20250315,15,6,3,1,3,1,2.35,8,3.4,0
"TCKT000039",20250325,0,12,3,5,4,6,3,,2,,0
"TCKT000040",20250118,20250119,12,3,1,4,3,2,15.55,2,2.3,1
"TCKT000041",20250802,20250802,11,7,8,3,3,2,9.46,8,1.1,1
"TCKT000042",20251013,0,15,6,5,2,6,3,,8,,0
"TCKT000043",20250925,20250925,18,1,8,4,3,3,0.85,72,4.2,0
"TCKT000044",20250224,20250226,2,2,3,1,1,2,29.93,1,4.8,1
"TCKT000045",20251120,20251120,13,5,8,4,1,1,4.94,48,3.8,0
"TCKT000046",20251127,20251127,4,3,7,4,1,1,3.71,4,4.6,0
"TCKT000047",20250424,20250429,4,3,1,1,1,3,120.2,4,2.2,1
"TCKT000048",20250920,20250922,14,1,8,4,3,1,31.82,48,2.8,0
"TCKT000049",20250707,20250709,14,1,5,1,1,2,48.45,48,4.9,1
"TCKT000050",20251116,20251118,15,6,3,1,1,2,41.08,8,3.9,1
"TCKT000051",20250930,0,15,6,1,2,2,2,,8,,0
"TCKT000052",20250413,0,4,3,3,2,4,2,,4,,0
"TCKT000053",20250402,20250403,4,3,6,4,3,1,19.94,4,4.9,1
"TCKT000054",20250907,20250908,13,5,3,1,1,1,23.64,48,4.7,0
"TCKT000055",20250223,20250223,5,4,5,1,3,2,1.88,4,3.8,0
"TCKT000056",20250507,20250507,6,5,6,4,3,1,4.72,24,4,0
"TCKT000057",20251107,20251108,15,6,3,1,3,2,32.04,8,3.8,1
"TCKT000058",20250513,20250514,7,6,7,2,1,3,28.71,2,2.9,1
"TCKT000059",20250824,20250824,1,1,2,4,3,1,3.96,1,4.9,1
"TCKT000060",20250701,20250701,12,3,7,1,3,2,1.5,2,1.6,0
"TCKT000061",20250805,20250808,8,2,3,1,3,2,51.33,72,2.3,0
"TCKT000062",20250715,0,7,6,7,3,5,1,,2,,0
"TCKT000063",20250901,20250901,14,1,7,3,1,3,1.23,48,2.1,0
"TCKT000064",20250311,20250312,18,1,6,4,3,1,6.6,72,3.4,0
"TCKT000065",20251105,20251107,7,6,2,1,3,3,35.5,2,2.4,1
"TCKT000066",20250402,20250402,8,2,4,2,1,3,2.95,72,2.5,0
"TCKT000067",20250429,20250430,16,7,5,4,3,1,17.01,12,2.8,1
"TCKT000068",20251016,20251016,17,4,4,2,3,3,9.93,8,2.7,1
"TCKT000069",20251018,0,9,7,1,1,6,1,,24,,0
"TCKT000070",20251126,0,4,3,1,3,4,3,,4,,0
